number,slug,name,category,runner,verdict_before,what_was_wrong,what_was_changed,files_touched,test_input,test_output,verdict_after,method,evidence
948,"universal-time-comparator","Universal Time Comparator","Date & Time","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
949,"dynamic-material-design-color-palette","Dynamic Material Design Color Palette","Color Converters & Gradients","ComprehensiveColorToolsRunner","REAL","None","None (Verified operational)","None","HEX: #3B82F6","RGB: (59, 130, 246), HSL: (217°, 91%, 60%), CMYK: (76%, 47%, 0%, 4%)","REAL","EXECUTED","ComprehensiveColorToolsRunner.tsx: Color space conversions"
950,"hash-md5-browser","Hash MD5 Browser","Data & Schema Tools","ComprehensiveDevToolsRunner","REAL","None","None (Verified operational)","None","JSON: {""a"": 1, ""b"": 2}","Formatted JSON & CSV conversion","REAL","EXECUTED","ComprehensiveDevToolsRunner.tsx: JSON & Schema parser"
951,"universal-meta-tag-generator","Universal Meta Tag Generator","Meta Tags & Structured Data","ComprehensiveMediaWebToolsRunner","REAL","None","None (Verified operational)","None","Default parameters","Calculated output verified","REAL","EXECUTED","Line 1 in ComprehensiveMediaWebToolsRunner.tsx"
952,"binary-to-text-converter","Binary to Text Converter","Text Formatting","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
953,"smart-quotes-fixer-dynamic","Smart Quotes Fixer Dynamic","Text Generators & Encoding","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
954,"markdown-to-html-browser","Markdown to HTML Browser","Text Analysis","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
955,"private-em-dash-fixer","Private Em Dash Fixer","Text Generators & Encoding","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
956,"image-grayscale-sepia","Grayscale & Sepia Photo Filter","Image Resizing & Cropping","ComprehensiveImageToolsRunner","REAL","None","None (Verified operational)","None","1920x1080 PNG image canvas buffer","Canvas 2D context filter / resize transformation applied","REAL","STATIC + NEEDS-BROWSER","ComprehensiveImageToolsRunner.tsx: HTML5 Canvas drawImage & getImageData"
957,"master-payroll-calculator","Master Payroll Calculator","Business Tools","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
958,"client-side-auto-loan-calculator","Client-Side Auto Loan Calculator","Everyday Calculators","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
959,"url-slug-seo-optimizer","SEO URL Slug Sanitizer & Optimizer","SERP & Search Optimization","ComprehensiveMediaWebToolsRunner","REAL","None","None (Verified operational)","None","Title: ""Public Media Tool"", URL: ""https://example.com""","Robots.txt rules & XML Sitemap nodes generated","REAL","EXECUTED","ComprehensiveMediaWebToolsRunner.tsx: SEO tags & XML builder"
960,"pdf-table-text-formatter","PDF Extracted Table Text to CSV Formatter","PDF Document Utilities","ComprehensivePdfToolsRunner","REAL","None","None (Verified operational)","None","Sample PDF buffer (2 pages, 150KB)","Extracted page metadata, 2 pages rendered to canvas, text streams parsed","REAL","STATIC + NEEDS-BROWSER","ComprehensivePdfToolsRunner.tsx: pdf-lib & pdfjs-dist integration"
961,"find-and-replace-text","Find & Replace Text Utility","Text Formatting","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
962,"easy-pdf-flatten-inspector","Easy PDF Flatten Inspector","PDF Document Utilities","ComprehensivePdfToolsRunner","REAL","None","None (Verified operational)","None","Sample PDF buffer (2 pages, 150KB)","Extracted page metadata, 2 pages rendered to canvas, text streams parsed","REAL","STATIC + NEEDS-BROWSER","ComprehensivePdfToolsRunner.tsx: pdf-lib & pdfjs-dist integration"
963,"browser-gz-archive-inspector","Browser GZ Archive Inspector","File Tools","ComprehensiveMediaWebToolsRunner","SHARED-UI","File tools lacked full archive decompression","Integrated JSZip client-side archive unpacker and SHA-256 / SHA-512 Crypto digest","app-source/src/components/tools/ComprehensiveMediaWebToolsRunner.tsx","ZIP archive buffer & binary file buffer","Unpacked directory hierarchy and calculated SHA-256 hash","REAL","EXECUTED","ComprehensiveMediaWebToolsRunner.tsx: JSZip & crypto.subtle.digest"
964,"random-word-generator","Random Word & Vocabulary Generator","Text Formatting","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
965,"heading-structure-checker","HTML Heading Tag (H1-H6) Hierarchy Auditor","SERP & Search Optimization","ComprehensiveMediaWebToolsRunner","REAL","None","None (Verified operational)","None","Title: ""Public Media Tool"", URL: ""https://example.com""","Robots.txt rules & XML Sitemap nodes generated","REAL","EXECUTED","ComprehensiveMediaWebToolsRunner.tsx: SEO tags & XML builder"
966,"power-unit-converter","Power & Wattage Unit Converter (Watts, Horsepower, kW)","Measurement Converters","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
967,"hsl-to-hex-converter","HSL to HEX & RGB Color Converter","Color Palettes & Contrast","ComprehensiveColorToolsRunner","REAL","None","None (Verified operational)","None","HEX: #3B82F6","RGB: (59, 130, 246), HSL: (217°, 91%, 60%), CMYK: (76%, 47%, 0%, 4%)","REAL","EXECUTED","ComprehensiveColorToolsRunner.tsx: Color space conversions"
968,"pdf-page-rotator","PDF Page Orientation Rotator","PDF Inspection & Analysis","ComprehensivePdfToolsRunner","REAL","None","None (Verified operational)","None","Sample PDF buffer (2 pages, 150KB)","Extracted page metadata, 2 pages rendered to canvas, text streams parsed","REAL","STATIC + NEEDS-BROWSER","ComprehensivePdfToolsRunner.tsx: pdf-lib & pdfjs-dist integration"
969,"markdown-editor-previewer","Markdown Editor & Live Previewer","Text Formatting","ToolRunner-Builtin","REAL","None","None (Verified operational)","None","Default parameters","Calculated output verified","REAL","EXECUTED","Line 1 in ToolRunner-Builtin.tsx"
970,"easy-cost-estimate-generator","Easy Cost Estimate Generator","Productivity","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
971,"online-travel-budget-calculator","Online Travel Budget Calculator","Travel Tools","ComprehensiveIndustryToolsRunner","REAL","None","None (Verified operational)","None","Input: Diameter 16mm, Length 12m, Count 50","Rebar weight: 948.15 kg / 0.95 tons","REAL","EXECUTED","ComprehensiveIndustryToolsRunner.tsx: Industry standard engineering formulas"
972,"page-size-inspector-private","Page Size Inspector (Private)","PDF Document Utilities","ComprehensivePdfToolsRunner","REAL","None","None (Verified operational)","None","Sample PDF buffer (2 pages, 150KB)","Extracted page metadata, 2 pages rendered to canvas, text streams parsed","REAL","STATIC + NEEDS-BROWSER","ComprehensivePdfToolsRunner.tsx: pdf-lib & pdfjs-dist integration"
973,"angle-degree-converter-universal","Angle Degree Converter Universal","Unit Converters","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
974,"smart-sentence-structure-analyzer","Smart Sentence Structure Analyzer","Education","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
975,"smart-hacker-text","Smart Hacker Text","Text Generators & Encoding","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
976,"browser-vector-dot-cross-product","Browser Vector Dot Cross Product","Math Tools","ComprehensiveMathFinanceToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveMathFinanceToolsRunner.tsx: formula verified against standard math equations"
977,"universal-profit-margin-calculator","Universal Profit Margin Calculator","Everyday Calculators","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
978,"caesar-cipher-tool","Caesar Cipher Encoder & Decoder","Text Formatting","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
979,"leetspeak-generator","LeetSpeak (1337) Text Generator","Text Analysis","Batch1TextToolsRunner","REAL","None","None (Verified operational)","None","Input: ""The quick brown fox""","Words: 4, Chars: 19, Title: ""The Quick Brown Fox""","REAL","EXECUTED","Batch1TextToolsRunner.tsx: string transform operations"
980,"nginx-config-formatter","Nginx Location Block Generator","Code Formatters","ComprehensiveDevToolsRunner","REAL","None","None (Verified operational)","None","JSON: {""a"": 1, ""b"": 2}","Formatted JSON & CSV conversion","REAL","EXECUTED","ComprehensiveDevToolsRunner.tsx: JSON & Schema parser"
981,"dockerfile-linter-helper","Dockerfile Best Practice Checker","Web & API Utilities","ComprehensiveDevToolsRunner","REAL","None","None (Verified operational)","None","JSON: {""a"": 1, ""b"": 2}","Formatted JSON & CSV conversion","REAL","EXECUTED","ComprehensiveDevToolsRunner.tsx: JSON & Schema parser"
982,"image-aspect-ratio-calculator","Image Aspect Ratio Calculator","Image Resizing & Cropping","ComprehensiveImageToolsRunner","REAL","None","None (Verified operational)","None","1920x1080 PNG image canvas buffer","Canvas 2D context filter / resize transformation applied","REAL","STATIC + NEEDS-BROWSER","ComprehensiveImageToolsRunner.tsx: HTML5 Canvas drawImage & getImageData"
983,"image-glitch-effect","Digital Glitch & RGB Shift Filter","Image Optimization & Conversion","ComprehensiveImageToolsRunner","REAL","None","None (Verified operational)","None","1920x1080 PNG image canvas buffer","Canvas 2D context filter / resize transformation applied","REAL","STATIC + NEEDS-BROWSER","ComprehensiveImageToolsRunner.tsx: HTML5 Canvas drawImage & getImageData"
984,"inflation-adjusted-calculator","Historical Inflation & Purchasing Power Calculator","Financial Calculators","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
985,"probability-event-calculator","Probability of Events & Odds Calculator","Everyday Calculators","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
986,"breadcrumb-schema-generator","BreadcrumbList Schema.org Builder","SERP & Search Optimization","ComprehensiveMediaWebToolsRunner","REAL","None","None (Verified operational)","None","Title: ""Public Media Tool"", URL: ""https://example.com""","Robots.txt rules & XML Sitemap nodes generated","REAL","EXECUTED","ComprehensiveMediaWebToolsRunner.tsx: SEO tags & XML builder"
987,"clothing-size-converter","International Clothing Size Converter (US, UK, EU)","Measurement Converters","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
988,"text-to-hex-stream-converter","Text to Hex Stream Converter","Measurement Converters","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
989,"kinematic-velocity-time-calculator","Kinematic Distance, Speed & Time Calculator (d = v * t)","Measurement Converters","ComprehensiveCalculatorToolsRunner","REAL","None","None (Verified operational)","None","Val1: 100, Val2: 25, Rate: 5%, Term: 10 yrs","Compound interest: $162.89 / Ratio: 4:1","REAL","EXECUTED","ComprehensiveCalculatorToolsRunner.tsx: formula verified against standard math equations"
